run,model,dataset,cap,n,median,mean,min,max
Nov12_14-06-54_c42e8ad320d8,gatqsat,flat100-239,1000,100,2.0000,2.7971,0.5517,11.8500
Nov13_03-55-51_c42e8ad320d8,gatqsat,flat100-239,1000,100,1.1844,1.7309,0.1461,11.2000
Dec09_12-16-16_d4e65e7af705,gatqsat,flat125-301,10,100,2.7652,4.0241,0.2148,32.1429
Nov12_14-06-54_c42e8ad320d8,gatqsat,flat125-301,10,100,2.6091,3.2675,0.2051,18.7500
Nov13_03-55-51_c42e8ad320d8,gatqsat,flat125-301,10,100,1.8685,2.5102,0.2148,14.5000
Dec09_12-16-16_d4e65e7af705,gatqsat,flat125-301,50,100,3.3391,4.8611,0.3316,32.1429
Nov12_14-06-54_c42e8ad320d8,gatqsat,flat125-301,50,100,2.5903,3.4173,0.2553,20.4545
Nov13_03-55-51_c42e8ad320d8,gatqsat,flat125-301,50,100,1.2887,1.8187,0.1345,14.5000
Dec09_12-16-16_d4e65e7af705,gatqsat,flat125-301,100,100,3.4356,4.8935,0.4068,32.1429
Nov12_14-06-54_c42e8ad320d8,gatqsat,flat125-301,100,100,2.4787,3.3840,0.2832,20.4545
Nov13_03-55-51_c42e8ad320d8,gatqsat,flat125-301,100,100,0.9993,1.5883,0.1032,14.5000
Dec09_12-16-16_d4e65e7af705,gatqsat,flat125-301,300,100,3.4356,4.8956,0.3351,32.1429
Nov12_14-06-54_c42e8ad320d8,gatqsat,flat125-301,300,100,2.4787,3.3668,0.2721,20.4545
Nov13_03-55-51_c42e8ad320d8,gatqsat,flat125-301,300,100,0.7873,1.4754,0.0702,14.5000
Dec09_12-16-16_d4e65e7af705,gatqsat,flat125-301,500,100,3.4356,4.8956,0.3351,32.1429
Nov12_14-06-54_c42e8ad320d8,gatqsat,flat125-301,500,100,2.4787,3.3673,0.2721,20.4545
Nov13_03-55-51_c42e8ad320d8,gatqsat,flat125-301,500,100,0.7873,1.4520,0.0659,14.5000
Dec09_12-16-16_d4e65e7af705,gatqsat,flat125-301,1000,100,3.4356,4.8956,0.3351,32.1429
Nov12_14-06-54_c42e8ad320d8,gatqsat,flat125-301,1000,100,2.4787,3.3673,0.2721,20.4545
